Date,Close
,
19-09-2018,271.4
18-09-2018,274
17-09-2018,285.6
14-09-2018,290.4
12/9/2018,285.45
11/9/2018,282.3
10/9/2018,285
7/9/2018,291.85
6/9/2018,296.65
5/9/2018,296.75
4/9/2018,296.6
3/9/2018,306.4
31-08-2018,308.85
30-08-2018,308.15
29-08-2018,309.65
28-08-2018,304.95
27-08-2018,308.25
24-08-2018,300.3
23-08-2018,302.25
21-08-2018,306.9
20-08-2018,307.55
17-08-2018,302
16-08-2018,292.7
14-08-2018,294.7
13-08-2018,294.8
10/8/2018,304.45
9/8/2018,316.45
8/8/2018,308.65
7/8/2018,304
6/8/2018,308.55
3/8/2018,298.6
2/8/2018,294
1/8/2018,295.1
31-07-2018,293.4
30-07-2018,297.35
27-07-2018,286.6
26-07-2018,286.7
25-07-2018,271.45
24-07-2018,266.7
23-07-2018,266.4
20-07-2018,260.95
19-07-2018,260.15
18-07-2018,259
17-07-2018,259.25
16-07-2018,251.75
13-07-2018,257.6
12/7/2018,262.75
11/7/2018,258.9
10/7/2018,263.5
9/7/2018,261.35
6/7/2018,257.45
5/7/2018,256.6
4/7/2018,257.5
3/7/2018,257.75
2/7/2018,259.1
29-06-2018,259.3
28-06-2018,256.85
27-06-2018,261.65
26-06-2018,267.15
25-06-2018,268.3
22-06-2018,273.25
21-06-2018,268.7
20-06-2018,273.25
19-06-2018,272.4
18-06-2018,276.85
15-06-2018,277.55
14-06-2018,282.7
13-06-2018,287.65
12/6/2018,282.85
11/6/2018,273.65
8/6/2018,272.7
7/6/2018,269.25
6/6/2018,269.9
5/6/2018,263.5
4/6/2018,263.1
1/6/2018,266.75
31-05-2018,269.2
30-05-2018,266.9
29-05-2018,264.9
28-05-2018,272.25
25-05-2018,267
24-05-2018,268.5
23-05-2018,263.2
22-05-2018,254.15
21-05-2018,245.1
18-05-2018,239.2
17-05-2018,243.3
16-05-2018,243.15
15-05-2018,248.6
14-05-2018,253.35
11/5/2018,250.9
10/5/2018,247.95
9/5/2018,248.8
8/5/2018,250
7/5/2018,246.5
4/5/2018,241.95
3/5/2018,241.8
2/5/2018,240.65
30-04-2018,246.3
27-04-2018,242.65
26-04-2018,233.35
25-04-2018,237.4
24-04-2018,240.6
23-04-2018,242.7
20-04-2018,241.4
19-04-2018,246.25
18-04-2018,246.25
17-04-2018,248.2
16-04-2018,249.3
13-04-2018,251.2
12/4/2018,254.3
11/4/2018,257.3
10/4/2018,263.25
9/4/2018,260.55
6/4/2018,259.8
5/4/2018,258.4
4/4/2018,246.9
3/4/2018,250.35
2/4/2018,246.3
28-03-2018,250.1
27-03-2018,253.85
26-03-2018,246.35
23-03-2018,234.6
22-03-2018,241.6
21-03-2018,247.7
20-03-2018,249.25
19-03-2018,248.1
16-03-2018,252.6
15-03-2018,254.1
14-03-2018,257
13-03-2018,254.9
12/3/2018,252.85
9/3/2018,253.15
8/3/2018,256.75
7/3/2018,246.65
6/3/2018,256.5
5/3/2018,263.8
1/3/2018,262.55
28-02-2018,268.75
27-02-2018,267.8
26-02-2018,274.75
23-02-2018,276.1
22-02-2018,272.6
21-02-2018,273.1
20-02-2018,269.65
19-02-2018,267.65
16-02-2018,271.75
15-02-2018,278.85
14-02-2018,276.8
12/2/2018,288.5
9/2/2018,296.4
8/2/2018,301.45
7/2/2018,292.75
6/2/2018,291.5
5/2/2018,297.7
2/2/2018,296.9
1/2/2018,305.55
31-01-2018,312.75
30-01-2018,312.85
29-01-2018,311.1
25-01-2018,313.15
24-01-2018,329.5
23-01-2018,318
22-01-2018,306.25
19-01-2018,309.05
18-01-2018,302.75
17-01-2018,306.35
16-01-2018,296.15
15-01-2018,302.25
12/1/2018,301.8
11/1/2018,302
10/1/2018,301.05
9/1/2018,304.25
8/1/2018,305.65
5/1/2018,306.2
4/1/2018,308.05
3/1/2018,302.85
2/1/2018,302.9
1/1/2018,307.05
29-12-2017,309.5
28-12-2017,308.3
27-12-2017,314.15
26-12-2017,316.85
22-12-2017,319.85
21-12-2017,316.55
20-12-2017,317.25
19-12-2017,319.45
18-12-2017,318.9
15-12-2017,312.75
14-12-2017,314.05
13-12-2017,313.25
12/12/2017,318.4
11/12/2017,318.3
8/12/2017,313.15
7/12/2017,316.6
6/12/2017,312.25
5/12/2017,319.3
4/12/2017,313.3
1/12/2017,312.55
30-11-2017,320.45
29-11-2017,328.8
28-11-2017,332.65
27-11-2017,335.25
24-11-2017,332.25
23-11-2017,334.9
22-11-2017,335.2
21-11-2017,330.75
20-11-2017,333.05
17-11-2017,337.4
16-11-2017,333.45
15-11-2017,325.2
14-11-2017,329.2
13-11-2017,331.2
10/11/2017,333.2
9/11/2017,313.75
8/11/2017,309.75
7/11/2017,317.2
6/11/2017,328.95
3/11/2017,325
2/11/2017,314.95
1/11/2017,319.8
31-10-2017,305.8
30-10-2017,312.1
27-10-2017,310.95
26-10-2017,320.65
25-10-2017,324.7
24-10-2017,254.5
23-10-2017,245.75
19-10-2017,242.5
18-10-2017,244.2
17-10-2017,251.15
16-10-2017,252.25
13-10-2017,252.45
12/10/2017,251.6
11/10/2017,251.6
10/10/2017,256.65
9/10/2017,256.5
6/10/2017,256.65
5/10/2017,251.35
4/10/2017,253.35
3/10/2017,251.3
29-09-2017,253.75
28-09-2017,252.8
27-09-2017,250.45
26-09-2017,257.9
25-09-2017,258.65
22-09-2017,261.9
21-09-2017,268.5
20-09-2017,270.55
19-09-2017,267.8
18-09-2017,270.15
15-09-2017,272.05
14-09-2017,273.9
13-09-2017,273.35
12/9/2017,273.5
11/9/2017,270.85
8/9/2017,271.95
7/9/2017,274.5
6/9/2017,274.2
5/9/2017,277.3
4/9/2017,277.8
1/9/2017,277.7
