Date,Close
,
14-09-2018,82.85
12/9/2018,81.35
11/9/2018,81.8
10/9/2018,82.75
7/9/2018,84.35
6/9/2018,83.25
5/9/2018,83.15
4/9/2018,83.15
3/9/2018,86.35
31-08-2018,88.15
30-08-2018,85.05
29-08-2018,84.2
28-08-2018,82.9
27-08-2018,85.4
24-08-2018,85.75
23-08-2018,84.55
21-08-2018,83.7
20-08-2018,84.2
17-08-2018,83.45
16-08-2018,81.7
14-08-2018,79.9
13-08-2018,80.35
10/8/2018,83.15
9/8/2018,83.4
8/8/2018,80.45
7/8/2018,82.85
6/8/2018,90.15
3/8/2018,88.25
2/8/2018,85.25
1/8/2018,87.65
31-07-2018,85.15
30-07-2018,86.1
27-07-2018,82
26-07-2018,80.85
25-07-2018,79.25
24-07-2018,79.25
23-07-2018,78.95
20-07-2018,75.5
19-07-2018,75.25
18-07-2018,74.95
17-07-2018,78.7
16-07-2018,73.85
13-07-2018,73.65
12/7/2018,76.15
11/7/2018,75.5
10/7/2018,77.9
9/7/2018,77.85
6/7/2018,76.9
5/7/2018,75.6
4/7/2018,76.1
3/7/2018,76.9
2/7/2018,78.15
29-06-2018,75.95
28-06-2018,73.25
27-06-2018,76.7
26-06-2018,79.9
25-06-2018,79.7
22-06-2018,82.15
21-06-2018,83.4
20-06-2018,86.05
19-06-2018,86.7
18-06-2018,88.4
15-06-2018,89.85
14-06-2018,91.7
13-06-2018,91.2
12/6/2018,91.8
11/6/2018,91.65
8/6/2018,90.4
7/6/2018,86.05
6/6/2018,84.75
5/6/2018,82.8
4/6/2018,83.2
1/6/2018,82.9
31-05-2018,83.6
30-05-2018,86.15
29-05-2018,85.65
28-05-2018,88.7
25-05-2018,83.3
24-05-2018,82.1
23-05-2018,80.55
22-05-2018,81.6
21-05-2018,78.2
18-05-2018,74.75
17-05-2018,76.45
16-05-2018,75.55
15-05-2018,86
14-05-2018,89.4
11/5/2018,88.65
10/5/2018,91.3
9/5/2018,93.05
8/5/2018,92.65
7/5/2018,93.8
4/5/2018,91.65
3/5/2018,92
2/5/2018,92.8
30-04-2018,95.2
27-04-2018,93.5
26-04-2018,91.05
25-04-2018,92.3
24-04-2018,93.25
23-04-2018,94.15
20-04-2018,93.6
19-04-2018,96.1
18-04-2018,97.25
17-04-2018,98.1
16-04-2018,99.15
13-04-2018,101.25
12/4/2018,101.2
11/4/2018,102
10/4/2018,105.2
9/4/2018,105.1
6/4/2018,102
5/4/2018,97.25
4/4/2018,94.4
3/4/2018,95.7
2/4/2018,96.35
28-03-2018,95.45
27-03-2018,99.25
26-03-2018,95.75
23-03-2018,93.15
22-03-2018,96.45
21-03-2018,97.6
20-03-2018,96.75
19-03-2018,96.45
16-03-2018,98.95
15-03-2018,98.65
14-03-2018,99.35
13-03-2018,98
12/3/2018,94.6
9/3/2018,95.5
8/3/2018,96.7
7/3/2018,95.55
6/3/2018,97.75
5/3/2018,100.05
1/3/2018,101
28-02-2018,101.35
27-02-2018,98.35
26-02-2018,111.9
23-02-2018,113.4
22-02-2018,114.65
21-02-2018,117.1
20-02-2018,116.55
19-02-2018,116.4
16-02-2018,125.65
15-02-2018,128.35
14-02-2018,145.8
12/2/2018,161.65
9/2/2018,156.8
8/2/2018,159.3
7/2/2018,156.95
6/2/2018,160.45
5/2/2018,163.4
2/2/2018,161.65
1/2/2018,167.05
31-01-2018,171.25
30-01-2018,172.7
29-01-2018,173.95
25-01-2018,180.8
24-01-2018,194.55
23-01-2018,185.9
22-01-2018,175.8
19-01-2018,176.45
18-01-2018,170.6
17-01-2018,175.2
16-01-2018,165.55
15-01-2018,172.5
12/1/2018,173.8
11/1/2018,172.25
10/1/2018,170.8
9/1/2018,174.8
8/1/2018,175.6
5/1/2018,176.05
4/1/2018,176.75
3/1/2018,166.8
2/1/2018,166.45
1/1/2018,169.75
29-12-2017,171.5
28-12-2017,170.7
27-12-2017,173.9
26-12-2017,174.25
22-12-2017,175.9
21-12-2017,173.45
20-12-2017,170.6
19-12-2017,178.35
18-12-2017,178.4
15-12-2017,171.6
14-12-2017,169.3
13-12-2017,167.8
12/12/2017,173.55
11/12/2017,172.85
8/12/2017,172.55
7/12/2017,173.75
6/12/2017,172.05
5/12/2017,176
4/12/2017,173.1
1/12/2017,171.35
30-11-2017,176.15
29-11-2017,181.5
28-11-2017,183.85
27-11-2017,185.9
24-11-2017,186.05
23-11-2017,186.5
22-11-2017,189.25
21-11-2017,186.15
20-11-2017,187.4
17-11-2017,190.7
16-11-2017,189.45
15-11-2017,180.65
14-11-2017,184.15
13-11-2017,187.4
10/11/2017,190.05
9/11/2017,192.1
8/11/2017,189.25
7/11/2017,190.75
6/11/2017,201.15
3/11/2017,207.3
2/11/2017,197.3
1/11/2017,198.9
31-10-2017,196.7
30-10-2017,203.95
27-10-2017,196.25
26-10-2017,213.2
25-10-2017,201.9
24-10-2017,138.1
23-10-2017,130.9
19-10-2017,129.6
18-10-2017,130.8
17-10-2017,134.5
16-10-2017,133.75
13-10-2017,135.05
12/10/2017,133.65
11/10/2017,131.7
10/10/2017,136.9
9/10/2017,137
6/10/2017,136.85
5/10/2017,132.35
4/10/2017,130.2
3/10/2017,129.7
29-09-2017,129.05
28-09-2017,131.15
27-09-2017,132.8
26-09-2017,136.95
25-09-2017,137.7
22-09-2017,137.8
21-09-2017,141.95
20-09-2017,145.4
19-09-2017,144.1
18-09-2017,144.65
15-09-2017,144.6
14-09-2017,145.2
13-09-2017,142.85
12/9/2017,141.45
11/9/2017,138.2
8/9/2017,137.95
7/9/2017,139.4
6/9/2017,138.85
5/9/2017,143.55
4/9/2017,142.7
1/9/2017,144.35
31-08-2017,143.7
30-08-2017,142.3
29-08-2017,141.05
28-08-2017,144.9
24-08-2017,144
23-08-2017,142.4
22-08-2017,137.9
21-08-2017,137.8
18-08-2017,142.3
17-08-2017,146.55
16-08-2017,147.55
14-08-2017,143.1
11/8/2017,140.15
10/8/2017,143.4
9/8/2017,148.1
8/8/2017,148.8
7/8/2017,151.8
4/8/2017,151
3/8/2017,149.4
2/8/2017,158.9
1/8/2017,157.5
31-07-2017,162.2
28-07-2017,158.95
27-07-2017,154.35
26-07-2017,158.8
25-07-2017,162.95
24-07-2017,161.3
21-07-2017,158.15
20-07-2017,156.7
19-07-2017,158.35
18-07-2017,154.9
17-07-2017,152.9
14-07-2017,153.6
13-07-2017,152.15
12/7/2017,152.1
11/7/2017,149.4
10/7/2017,153.25
7/7/2017,144.15
6/7/2017,143.3
5/7/2017,137.05
4/7/2017,136.65
3/7/2017,139.05
30-06-2017,137.15
29-06-2017,137.7
28-06-2017,136.45
27-06-2017,137.1
23-06-2017,143.85
22-06-2017,145.55
21-06-2017,146.2
20-06-2017,143.9
19-06-2017,147.4
16-06-2017,147.45
15-06-2017,147.6
14-06-2017,151.85
13-06-2017,148.65
12/6/2017,148.15
9/6/2017,152.05
8/6/2017,151.4
7/6/2017,152.05
6/6/2017,149.4
5/6/2017,153.3
2/6/2017,152.85
1/6/2017,151.45
