Date,Close
,
18-09-2018,323.15
17-09-2018,318.6
14-09-2018,323.1
12/9/2018,314.45
11/9/2018,316.7
10/9/2018,323.75
7/9/2018,323.45
6/9/2018,339
5/9/2018,343.9
4/9/2018,334.1
3/9/2018,339.6
31-08-2018,343.4
30-08-2018,361.9
29-08-2018,366
28-08-2018,371.35
27-08-2018,383.1
24-08-2018,374.65
23-08-2018,388.3
21-08-2018,391
20-08-2018,393.85
17-08-2018,392.95
16-08-2018,378.7
14-08-2018,381.75
13-08-2018,371.1
10/8/2018,383
9/8/2018,381.25
8/8/2018,382.7
7/8/2018,381.3
6/8/2018,377.35
3/8/2018,372.45
2/8/2018,361.75
1/8/2018,366
31-07-2018,367.9
30-07-2018,369.05
27-07-2018,369.9
26-07-2018,369.6
25-07-2018,383.45
24-07-2018,384.3
23-07-2018,387.55
20-07-2018,386.65
19-07-2018,391.2
18-07-2018,383.8
17-07-2018,380.75
16-07-2018,379
13-07-2018,376.4
12/7/2018,374.8
11/7/2018,371.35
10/7/2018,371.25
9/7/2018,361.9
6/7/2018,352.4
5/7/2018,348.8
4/7/2018,335.5
3/7/2018,336.8
2/7/2018,337
29-06-2018,339.6
28-06-2018,329.2
27-06-2018,335.1
26-06-2018,335.9
25-06-2018,334.2
22-06-2018,335.2
21-06-2018,332.9
20-06-2018,335.9
19-06-2018,330.4
18-06-2018,331.25
15-06-2018,330.55
14-06-2018,337
13-06-2018,333.1
12/6/2018,332.4
11/6/2018,335.7
8/6/2018,337.6
7/6/2018,339.6
6/6/2018,339.05
5/6/2018,336.7
4/6/2018,343
1/6/2018,342.25
31-05-2018,346.2
30-05-2018,343.15
29-05-2018,338.45
28-05-2018,344.6
25-05-2018,339.45
24-05-2018,330.5
23-05-2018,333.6
22-05-2018,334.7
21-05-2018,334.15
18-05-2018,345.45
17-05-2018,345.3
16-05-2018,349.5
15-05-2018,345.65
14-05-2018,344.65
11/5/2018,349.95
10/5/2018,344.7
9/5/2018,347.85
8/5/2018,343.35
7/5/2018,347.5
4/5/2018,345.4
3/5/2018,354
2/5/2018,354.25
30-04-2018,362.05
27-04-2018,348.45
26-04-2018,352.05
25-04-2018,325.2
24-04-2018,323.4
23-04-2018,313.05
20-04-2018,308.45
19-04-2018,318
18-04-2018,309.25
17-04-2018,307.95
16-04-2018,310.35
13-04-2018,309.4
12/4/2018,311.45
11/4/2018,312
10/4/2018,319.2
9/4/2018,316.1
6/4/2018,314.2
5/4/2018,312.85
4/4/2018,305.65
3/4/2018,312.65
2/4/2018,306.2
28-03-2018,304.9
27-03-2018,303.4
26-03-2018,302.95
23-03-2018,286.7
22-03-2018,298.25
21-03-2018,300.6
20-03-2018,302.05
19-03-2018,304.85
16-03-2018,312.9
15-03-2018,312.4
14-03-2018,318.9
13-03-2018,313.1
12/3/2018,311.45
9/3/2018,303.45
8/3/2018,307.8
7/3/2018,312.9
6/3/2018,313
5/3/2018,313.35
1/3/2018,320.75
28-02-2018,322.25
27-02-2018,327.05
26-02-2018,325.4
23-02-2018,323.6
22-02-2018,316.4
21-02-2018,312.15
20-02-2018,309.3
19-02-2018,312.6
16-02-2018,311.9
15-02-2018,319.95
14-02-2018,320.2
12/2/2018,334.95
9/2/2018,325.55
8/2/2018,335.05
7/2/2018,333.2
6/2/2018,338.55
5/2/2018,344.1
2/2/2018,350
1/2/2018,359.15
31-01-2018,354.45
30-01-2018,353.45
29-01-2018,357.55
25-01-2018,363.5
24-01-2018,364.8
23-01-2018,358.85
22-01-2018,355.25
19-01-2018,348.3
18-01-2018,340.25
17-01-2018,342.5
16-01-2018,333.9
15-01-2018,335.95
12/1/2018,340.65
11/1/2018,342.6
10/1/2018,339.75
9/1/2018,341.1
8/1/2018,333.4
5/1/2018,333.05
4/1/2018,317.1
3/1/2018,315.8
2/1/2018,311.65
1/1/2018,313.2
29-12-2017,315.05
28-12-2017,313.5
27-12-2017,315.2
26-12-2017,315.45
22-12-2017,310.05
21-12-2017,310.3
20-12-2017,311.55
19-12-2017,312.4
18-12-2017,312.15
15-12-2017,316.05
14-12-2017,303.95
13-12-2017,301.85
12/12/2017,306.5
11/12/2017,311.5
8/12/2017,312.05
7/12/2017,310.5
6/12/2017,306.2
5/12/2017,308.55
4/12/2017,303.2
1/12/2017,306.5
30-11-2017,306.8
29-11-2017,312.3
28-11-2017,315.2
27-11-2017,315.2
24-11-2017,312.8
23-11-2017,312.35
22-11-2017,309.85
21-11-2017,312
20-11-2017,313.2
17-11-2017,306.45
16-11-2017,301.55
15-11-2017,300.95
14-11-2017,302.45
13-11-2017,303.7
10/11/2017,303.95
9/11/2017,304.7
8/11/2017,303.7
7/11/2017,311.45
6/11/2017,320
3/11/2017,325.95
2/11/2017,320.35
1/11/2017,317.95
31-10-2017,314.35
30-10-2017,314.4
27-10-2017,307.2
26-10-2017,331.7
25-10-2017,327.65
24-10-2017,348.25
23-10-2017,354.1
19-10-2017,358.05
18-10-2017,362.3
17-10-2017,373.3
16-10-2017,367.5
13-10-2017,369.6
12/10/2017,365.3
11/10/2017,362.8
10/10/2017,372.6
9/10/2017,371.15
6/10/2017,365.15
5/10/2017,359.35
4/10/2017,356.05
3/10/2017,350.6
29-09-2017,350
28-09-2017,350.8
27-09-2017,353.35
26-09-2017,360.35
25-09-2017,359.55
22-09-2017,360.75
21-09-2017,377
20-09-2017,375.71
19-09-2017,372.76
18-09-2017,371.71
15-09-2017,368.41
14-09-2017,370.43
13-09-2017,368.25
12/9/2017,370.34
11/9/2017,368.39
8/9/2017,357.75
7/9/2017,360.5
6/9/2017,358.57
5/9/2017,355.4
4/9/2017,352.22
1/9/2017,355.11
31-08-2017,351.15
30-08-2017,350.07
29-08-2017,343.94
28-08-2017,350.15
24-08-2017,344.11
23-08-2017,344.41
22-08-2017,342.63
21-08-2017,343.55
18-08-2017,344.02
17-08-2017,347.79
16-08-2017,352.29
14-08-2017,355.8
11/8/2017,348.06
10/8/2017,345.92
9/8/2017,348.27
8/8/2017,352.66
7/8/2017,360.23
4/8/2017,361.83
3/8/2017,357.05
2/8/2017,365.91
1/8/2017,365.21
31-07-2017,361.96
28-07-2017,368.81
27-07-2017,357.35
26-07-2017,342.51
25-07-2017,322.83
24-07-2017,318.5
21-07-2017,315.77
20-07-2017,314.21
19-07-2017,312.63
18-07-2017,310.47
17-07-2017,309.44
14-07-2017,313.06
13-07-2017,316.36
12/7/2017,302.98
11/7/2017,302.19
10/7/2017,302.51
7/7/2017,300.67
6/7/2017,300.14
5/7/2017,300.87
4/7/2017,297.06
3/7/2017,298.67
30-06-2017,292.37
29-06-2017,287.51
28-06-2017,289.71
27-06-2017,283.09
23-06-2017,287.32
22-06-2017,290.59
21-06-2017,286.45
20-06-2017,288.51
19-06-2017,286.88
16-06-2017,288.36
15-06-2017,289.15
14-06-2017,289.86
13-06-2017,298.82
12/6/2017,296.66
9/6/2017,297.26
8/6/2017,295.75
7/6/2017,298.82
6/6/2017,300.59
5/6/2017,303.99
2/6/2017,296.4
1/6/2017,288.77
31-05-2017,286.38
30-05-2017,287.87
29-05-2017,288.11
26-05-2017,298.51
25-05-2017,292.68
24-05-2017,284.81
23-05-2017,280.32
22-05-2017,281.3
19-05-2017,285.99
18-05-2017,280.29
17-05-2017,290.91
16-05-2017,296.69
15-05-2017,294.3
12/5/2017,296.77
11/5/2017,315.85
10/5/2017,319.78
9/5/2017,320.56
8/5/2017,322.99
5/5/2017,321.74
4/5/2017,325.64
3/5/2017,326.31
2/5/2017,326.25
28-04-2017,326.14
27-04-2017,328.04
26-04-2017,316.06
25-04-2017,311.38
24-04-2017,311.15
21-04-2017,308.69
20-04-2017,309.02
19-04-2017,321.08
18-04-2017,321.18
17-04-2017,322.19
13-04-2017,323.37
12/4/2017,326.35
11/4/2017,322.76
10/4/2017,320.03
7/4/2017,310.61
6/4/2017,312.92
5/4/2017,313.38
3/4/2017,307.77
31-03-2017,309.82
30-03-2017,310.39
29-03-2017,308.93
28-03-2017,307.06
27-03-2017,305.57
24-03-2017,305.78
23-03-2017,303.21
22-03-2017,294.04
21-03-2017,297.36
20-03-2017,302.66
17-03-2017,301.61
16-03-2017,305.74
15-03-2017,306.1
14-03-2017,306.37
10/3/2017,296.06
9/3/2017,293.07
8/3/2017,294.23
7/3/2017,289.71
6/3/2017,291.91
3/3/2017,287.07
2/3/2017,285.28
1/3/2017,290.74
28-02-2017,290.56
27-02-2017,284.36
23-02-2017,288.92
22-02-2017,289.66
21-02-2017,289.98
20-02-2017,285.82
17-02-2017,288.12
16-02-2017,287.24
15-02-2017,286.29
14-02-2017,291.36
13-02-2017,290.39
10/2/2017,282.11
9/2/2017,281.42
8/2/2017,282.19
7/2/2017,279.31
6/2/2017,279.64
3/2/2017,279.45
2/2/2017,277.75
1/2/2017,282.56
31-01-2017,279.1
30-01-2017,277.88
